iteration	J-0	J-1	J-2	J-3	J-4	J-5	J-6	J-7	J-8	J-9	J-10	J-11	J-12	J-13	J-14	J-15	J-16	J-17	Sensor
38	-0.0659778	2.11015	-0.466119	-0.0390054	1.80807	-0.459133	-0.0659778	2.11015	-0.466119	-0.0390054	1.80807	-0.459133	-0.0659778	2.11015	-0.466119	-0.0390054	1.80807	-0.459133	-0.000508785
39	-0.0875678	2.10766	-0.458751	-0.0225875	1.80763	-0.458286	-0.0875678	2.10766	-0.458751	-0.0225875	1.80763	-0.458286	-0.0875678	2.10766	-0.458751	-0.0225875	1.80763	-0.458286	-0.000508785
40	-0.108422	2.10461	-0.451331	-0.00576781	1.80673	-0.458054	-0.108422	2.10461	-0.451331	-0.00576781	1.80673	-0.458054	-0.108422	2.10461	-0.451331	-0.00576781	1.80673	-0.458054	-0.000508785
41	-0.128447	2.10105	-0.444027	0.0114209	1.80539	-0.458456	-0.128447	2.10105	-0.444027	0.0114209	1.80539	-0.458456	-0.128447	2.10105	-0.444027	0.0114209	1.80539	-0.458456	-0.000508785
42	-0.147569	2.09699	-0.437011	0.0289301	1.80361	-0.459496	-0.147569	2.09699	-0.437011	0.0289301	1.80361	-0.459496	-0.147569	2.09699	-0.437011	0.0289301	1.80361	-0.459496	-0.000508785
43	-0.165734	2.09244	-0.430452	0.0466971	1.80143	-0.461157	-0.165734	2.09244	-0.430452	0.0466971	1.80143	-0.461157	-0.165734	2.09244	-0.430452	0.0466971	1.80143	-0.461157	-0.000508785
44	-0.182913	2.08742	-0.424513	0.0646476	1.79885	-0.463406	-0.182913	2.08742	-0.424513	0.0646476	1.79885	-0.463406	-0.182913	2.08742	-0.424513	0.0646476	1.79885	-0.463406	-0.000508785
45	-0.199103	2.08191	-0.419343	0.0826996	1.79589	-0.466192	-0.199103	2.08191	-0.419343	0.0826996	1.79589	-0.466192	-0.199103	2.08191	-0.419343	0.0826996	1.79589	-0.466192	-0.000508785
46	-0.214319	2.0759	-0.415071	0.100767	1.79258	-0.469448	-0.214319	2.0759	-0.415071	0.100767	1.79258	-0.469448	-0.214319	2.0759	-0.415071	0.100767	1.79258	-0.469448	-0.000508785
47	-0.228601	2.0694	-0.411806	0.118762	1.78895	-0.473094	-0.228601	2.0694	-0.411806	0.118762	1.78895	-0.473094	-0.228601	2.0694	-0.411806	0.118762	1.78895	-0.473094	-0.000508785
48	-0.242006	2.06238	-0.409634	0.136604	1.78504	-0.477042	-0.242006	2.06238	-0.409634	0.136604	1.78504	-0.477042	-0.242006	2.06238	-0.409634	0.136604	1.78504	-0.477042	-0.000508785
49	-0.254606	2.05484	-0.408613	0.154216	1.78091	-0.481196	-0.254606	2.05484	-0.408613	0.154216	1.78091	-0.481196	-0.254606	2.05484	-0.408613	0.154216	1.78091	-0.481196	-0.000508785
50	-0.266481	2.04677	-0.408779	0.171532	1.77661	-0.485457	-0.266481	2.04677	-0.408779	0.171532	1.77661	-0.485457	-0.266481	2.04677	-0.408779	0.171532	1.77661	-0.485457	-0.000508785
51	-0.277721	2.03818	-0.410142	0.188496	1.77222	-0.489727	-0.277721	2.03818	-0.410142	0.188496	1.77222	-0.489727	-0.277721	2.03818	-0.410142	0.188496	1.77222	-0.489727	-0.000508785
52	-0.288414	2.02907	-0.412693	0.205063	1.76781	-0.493911	-0.288414	2.02907	-0.412693	0.205063	1.76781	-0.493911	-0.288414	2.02907	-0.412693	0.205063	1.76781	-0.493911	-0.000508785
53	-0.29865	2.01945	-0.416398	0.221203	1.76347	-0.497921	-0.29865	2.01945	-0.416398	0.221203	1.76347	-0.497921	-0.29865	2.01945	-0.416398	0.221203	1.76347	-0.497921	-0.000508785
54	-0.30851	2.00933	-0.421211	0.23689	1.75929	-0.501673	-0.30851	2.00933	-0.421211	0.23689	1.75929	-0.501673	-0.30851	2.00933	-0.421211	0.23689	1.75929	-0.501673	-0.000508785
55	-0.318068	1.99872	-0.427067	0.252111	1.75535	-0.505094	-0.318068	1.99872	-0.427067	0.252111	1.75535	-0.505094	-0.318068	1.99872	-0.427067	0.252111	1.75535	-0.505094	-0.000508785
56	-0.327385	1.98764	-0.433886	0.266856	1.75175	-0.50812	-0.327385	1.98764	-0.433886	0.266856	1.75175	-0.50812	-0.327385	1.98764	-0.433886	0.266856	1.75175	-0.50812	-0.000508785
57	-0.336509	1.97609	-0.441579	0.281119	1.74858	-0.510695	-0.336509	1.97609	-0.441579	0.281119	1.74858	-0.510695	-0.336509	1.97609	-0.441579	0.281119	1.74858	-0.510695	-0.000508785
58	-0.345473	1.9641	-0.450042	0.294896	1.74592	-0.512776	-0.345473	1.9641	-0.450042	0.294896	1.74592	-0.512776	-0.345473	1.9641	-0.450042	0.294896	1.74592	-0.512776	-0.000508785
59	-0.35429	1.95166	-0.459164	0.308178	1.74386	-0.514329	-0.35429	1.95166	-0.459164	0.308178	1.74386	-0.514329	-0.35429	1.95166	-0.459164	0.308178	1.74386	-0.514329	-0.000508785
60	-0.362956	1.93881	-0.468822	0.320954	1.7425	-0.515335	-0.362956	1.93881	-0.468822	0.320954	1.7425	-0.515335	-0.362956	1.93881	-0.468822	0.320954	1.7425	-0.515335	-0.000508785
61	-0.371452	1.92555	-0.478886	0.333207	1.74192	-0.515785	-0.371452	1.92555	-0.478886	0.333207	1.74192	-0.515785	-0.371452	1.92555	-0.478886	0.333207	1.74192	-0.515785	-0.000508785
62	-0.379735	1.91193	-0.489214	0.34491	1.7422	-0.515686	-0.379735	1.91193	-0.489214	0.34491	1.7422	-0.515686	-0.379735	1.91193	-0.489214	0.34491	1.7422	-0.515686	-0.000216268
63	-0.387748	1.89799	-0.499663	0.356029	1.74344	-0.515059	-0.387748	1.89799	-0.499663	0.356029	1.74344	-0.515059	-0.387748	1.89799	-0.499663	0.356029	1.74344	-0.515059	6.10711e-05
64	-0.395417	1.88379	-0.510079	0.36652	1.74571	-0.51394	-0.395417	1.88379	-0.510079	0.36652	1.74571	-0.51394	-0.395417	1.88379	-0.510079	0.36652	1.74571	-0.51394	0.000320666
65	-0.402652	1.86941	-0.520309	0.37633	1.7491	-0.51238	-0.402652	1.86941	-0.520309	0.37633	1.7491	-0.51238	-0.402652	1.86941	-0.520309	0.37633	1.7491	-0.51238	0.000582354
66	-0.409351	1.85497	-0.530198	0.385397	1.75368	-0.510445	-0.409351	1.85497	-0.530198	0.385397	1.75368	-0.510445	-0.409351	1.85497	-0.530198	0.385397	1.75368	-0.510445	0.000852833
67	-0.415401	1.84058	-0.539595	0.39365	1.75952	-0.508215	-0.415401	1.84058	-0.539595	0.39365	1.75952	-0.508215	-0.415401	1.84058	-0.539595	0.39365	1.75952	-0.508215	0.00110367
68	-0.420686	1.82639	-0.548353	0.401013	1.76666	-0.505778	-0.420686	1.82639	-0.548353	0.401013	1.76666	-0.505778	-0.420686	1.82639	-0.548353	0.401013	1.76666	-0.505778	0.00132899
69	-0.425087	1.81256	-0.556338	0.407406	1.77515	-0.503235	-0.425087	1.81256	-0.556338	0.407406	1.77515	-0.503235	-0.425087	1.81256	-0.556338	0.407406	1.77515	-0.503235	0.0031069
