sim_time	behavior_0leg_0	behavior_0leg_1	behavior_0leg_2	behavior_0leg_3	behavior_0leg_4	behavior_0leg_5	behavior_1leg_0	behavior_1leg_1	behavior_1leg_2	behavior_1leg_3	behavior_1leg_4	behavior_1leg_5	behavior_2leg_0	behavior_2leg_1	behavior_2leg_2	behavior_2leg_3	behavior_2leg_4	behavior_2leg_5	behavior_3leg_0	behavior_3leg_1	behavior_3leg_2	behavior_3leg_3	behavior_3leg_4	behavior_3leg_5	behavior_4leg_0	behavior_4leg_1	behavior_4leg_2	behavior_4leg_3	behavior_4leg_4	behavior_4leg_5	behavior_5leg_0	behavior_5leg_1	behavior_5leg_2	behavior_5leg_3	behavior_5leg_4	behavior_5leg_5	behavior_6leg_0	behavior_6leg_1	behavior_6leg_2	behavior_6leg_3	behavior_6leg_4	behavior_6leg_5	behavior_7leg_0	behavior_7leg_1	behavior_7leg_2	behavior_7leg_3	behavior_7leg_4	behavior_7leg_5	behavior_8leg_0	behavior_8leg_1	behavior_8leg_2	behavior_8leg_3	behavior_8leg_4	behavior_8leg_5	
0.7014	-0.210527	-0.210527	-0.210527	0.210527	0.210527	0.210527	0	0	0	0	0	0	0	0	0	0.0529288	0.0529288	0.0529288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.7181	-0.206353	-0.206353	-0.206353	0.206353	0.206353	0.206353	0	0	0	0	0	0	0	0	0	0.0523656	0.0523656	0.0523656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.7348	-0.202477	-0.202477	-0.202477	0.202477	0.202477	0.202477	0	0	0	0	0	0	0	0	0	0.0513431	0.0513431	0.0513431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.7515	-0.198306	-0.198306	-0.198306	0.198306	0.198306	0.198306	0	0	0	0	0	0	0	0	0	0.0498738	0.0498738	0.0498738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.7682	-0.193536	-0.193536	-0.193536	0.193536	0.193536	0.193536	0	0	0	0	0	0	0	0	0	0.0479868	0.0479868	0.0479868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.7849	-0.188612	-0.188612	-0.188612	0.188612	0.188612	0.188612	0	0	0	0	0	0	0	0	0	0.0457038	0.0457038	0.0457038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.8016	-0.185445	-0.185445	-0.185445	0.185445	0.185445	0.185445	0	0	0	0	0	0	0	0	0	0.0430452	0.0430452	0.0430452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.8183	-0.184333	-0.184333	-0.184333	0.184333	0.184333	0.184333	0	0	0	0	0	0	0	0	0	0.0400357	0.0400357	0.0400357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.835	-0.182826	-0.182826	-0.182826	0.182826	0.182826	0.182826	0	0	0	0	0	0	0	0	0	0.0366233	0.0366233	0.0366233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.8517	-0.18021	-0.18021	-0.18021	0.18021	0.18021	0.18021	0	0	0	0	0	0	0	0	0	0.0328597	0.0328597	0.0328597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.8684	-0.178477	-0.178477	-0.178477	0.178477	0.178477	0.178477	0	0	0	0	0	0	0	0	0	0.0286691	0.0286691	0.0286691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.8851	-0.178006	-0.178006	-0.178006	0.178006	0.178006	0.178006	0	0	0	0	0	0	0	0	0	0.024253	0.024253	0.024253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.9018	-0.177963	-0.177963	-0.177963	0.177963	0.177963	0.177963	0	0	0	0	0	0	0	0	0	0.0194653	0.0194653	0.0194653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.9185	-0.178135	-0.178135	-0.178135	0.178135	0.178135	0.178135	0	0	0	0	0	0	0	0	0	0.0144786	0.0144786	0.0144786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.9352	-0.178639	-0.178639	-0.178639	0.178639	0.178639	0.178639	0	0	0	0	0	0	0	0	0	0.00917667	0.00917667	0.00917667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.9519	-0.17792	-0.17792	-0.17792	0.17792	0.17792	0.17792	0	0	0	0	0	0	0	0	0	0.00357225	0.00357225	0.00357225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.9686	-0.176958	-0.176958	-0.176958	0.176958	0.176958	0.176958	0	0	0	0	0	0	0.00230742	0.00230742	0.00230742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.9853	-0.175743	-0.175743	-0.175743	0.175743	0.175743	0.175743	0	0	0	0	0	0	0.00828907	0.00828907	0.00828907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
1.002	-0.175029	-0.175029	-0.175029	0.175029	0.175029	0.175029	0	0	0	0	0	0	0.0137191	0.0137191	0.0137191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
1.0187	-0.176048	-0.176048	-0.176048	0.176048	0.176048	0.176048	0	0	0	0	0	0	0.0178524	0.0178524	0.0178524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
1.0354	-0.177918	-0.177918	-0.177918	0.177918	0.177918	0.177918	0	0	0	0	0	0	0.0206694	0.0206694	0.0206694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
1.0521	-0.180394	-0.180394	-0.180394	0.180394	0.180394	0.180394	0	0	0	0	0	0	0.0222452	0.0222452	0.0222452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
1.0688	-0.183169	-0.183169	-0.183169	0.183169	0.183169	0.183169	0	0	0	0	0	0	0.0228115	0.0228115	0.0228115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
1.0855	-0.186615	-0.186615	-0.186615	0.186615	0.186615	0.186615	0	0	0	0	0	0	0.0226141	0.0226141	0.0226141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
1.1022	-0.190588	-0.190588	-0.190588	0.190588	0.190588	0.190588	0	0	0	0	0	0	0.0217889	0.0217889	0.0217889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
1.1189	-0.192507	-0.192507	-0.192507	0.192507	0.192507	0.192507	0	0	0	0	0	0	0.0205497	0.0205497	0.0205497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
1.1356	-0.19317	-0.19317	-0.19317	0.19317	0.19317	0.19317	0	0	0	0	0	0	0.0189488	0.0189488	0.0189488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
