iteration	J-0	J-1	J-2	J-3	J-4	J-5	J-6	J-7	J-8	J-9	J-10	J-11	J-12	J-13	J-14	J-15	J-16	J-17	Sensor
83	-0.359187	1.72756	-0.5616	0.361759	1.98405	-0.497563	-0.359187	1.72756	-0.5616	0.361759	1.98405	-0.497563	-0.359187	1.72756	-0.5616	0.361759	1.98405	-0.497563	0.131442
84	-0.346572	1.7301	-0.556239	0.348434	1.99873	-0.499728	-0.346572	1.7301	-0.556239	0.348434	1.99873	-0.499728	-0.346572	1.7301	-0.556239	0.348434	1.99873	-0.499728	0.130933
85	-0.333469	1.73334	-0.550644	0.333983	2.0126	-0.501962	-0.333469	1.73334	-0.550644	0.333983	2.0126	-0.501962	-0.333469	1.73334	-0.550644	0.333983	2.0126	-0.501962	0.130939
86	-0.320003	1.73719	-0.544904	0.318472	2.02559	-0.504182	-0.320003	1.73719	-0.544904	0.318472	2.02559	-0.504182	-0.320003	1.73719	-0.544904	0.318472	2.02559	-0.504182	0.131559
87	-0.306288	1.74151	-0.539101	0.301969	2.03767	-0.506303	-0.306288	1.74151	-0.539101	0.301969	2.03767	-0.506303	-0.306288	1.74151	-0.539101	0.301969	2.03767	-0.506303	0.131399
88	-0.29242	1.74621	-0.533299	0.284535	2.04883	-0.508243	-0.29242	1.74621	-0.533299	0.284535	2.04883	-0.508243	-0.29242	1.74621	-0.533299	0.284535	2.04883	-0.508243	0.131017
89	-0.278482	1.75119	-0.527552	0.26623	2.05908	-0.50992	-0.278482	1.75119	-0.527552	0.26623	2.05908	-0.50992	-0.278482	1.75119	-0.527552	0.26623	2.05908	-0.50992	0.130968
90	-0.264536	1.75634	-0.521897	0.247113	2.06841	-0.511255	-0.264536	1.75634	-0.521897	0.247113	2.06841	-0.511255	-0.264536	1.75634	-0.521897	0.247113	2.06841	-0.511255	0.13076
91	-0.250629	1.7616	-0.516365	0.22724	2.07684	-0.512171	-0.250629	1.7616	-0.516365	0.22724	2.07684	-0.512171	-0.250629	1.7616	-0.516365	0.22724	2.07684	-0.512171	0.130784
92	-0.236787	1.76686	-0.510974	0.206667	2.08437	-0.512596	-0.236787	1.76686	-0.510974	0.206667	2.08437	-0.512596	-0.236787	1.76686	-0.510974	0.206667	2.08437	-0.512596	0.130694
93	-0.223022	1.77206	-0.505736	0.185455	2.09103	-0.512461	-0.223022	1.77206	-0.505736	0.185455	2.09103	-0.512461	-0.223022	1.77206	-0.505736	0.185455	2.09103	-0.512461	0.130606
94	-0.209328	1.77712	-0.500661	0.163666	2.09682	-0.511706	-0.209328	1.77712	-0.500661	0.163666	2.09682	-0.511706	-0.209328	1.77712	-0.500661	0.163666	2.09682	-0.511706	0.130372
95	-0.195686	1.78196	-0.495754	0.14137	2.10175	-0.510278	-0.195686	1.78196	-0.495754	0.14137	2.10175	-0.510278	-0.195686	1.78196	-0.495754	0.14137	2.10175	-0.510278	0.130391
96	-0.182066	1.78653	-0.491024	0.118646	2.10582	-0.508135	-0.182066	1.78653	-0.491024	0.118646	2.10582	-0.508135	-0.182066	1.78653	-0.491024	0.118646	2.10582	-0.508135	0.130394
97	-0.168427	1.79076	-0.486481	0.0955825	2.10906	-0.505252	-0.168427	1.79076	-0.486481	0.0955825	2.10906	-0.505252	-0.168427	1.79076	-0.486481	0.0955825	2.10906	-0.505252	0.130319
98	-0.154719	1.7946	-0.482142	0.0722776	2.11147	-0.501617	-0.154719	1.7946	-0.482142	0.0722776	2.11147	-0.501617	-0.154719	1.7946	-0.482142	0.0722776	2.11147	-0.501617	0.130283
99	-0.14089	1.79801	-0.47803	0.0488407	2.11307	-0.49724	-0.14089	1.79801	-0.47803	0.0488407	2.11307	-0.49724	-0.14089	1.79801	-0.47803	0.0488407	2.11307	-0.49724	0.130246
